,cloudiness,humidity,lat,temp,wind speed
344,90,100,45.86,33.8,2.24
345,20,95,42.82,35.82,9.17
346,0,70,51.43,45.23,14.99
347,0,10,15.19,59.85,2.73
348,90,97,50.44,33.87,8.05
349,88,100,-22.33,62.82,2.95
350,75,75,51.7,44.6,17.22
351,24,88,-8.88,69.03,11.01
352,75,70,47.38,42.73,8.05
353,40,48,43.18,64.4,6.93
354,0,58,48.34,52.3,19.46
355,90,75,48.12,39.2,10.29
356,40,94,-23.03,73.4,6.93
357,80,89,-5.9,83.02,11.23
358,0,80,43.68,37.96,5.82
359,90,92,61.25,27.63,8.05
360,0,81,40.02,42.8,6.93
361,0,54,45.31,51.24,19.46
362,0,80,47.62,33.8,13.87
363,64,89,16.17,80.1,0.83
364,0,93,48.97,33.4,5.82
365,20,92,55.25,24.8,2.24
366,90,93,49.11,39.63,8.05
367,0,90,49.52,39.6,14.7
368,75,97,51.67,33.22,14.99
369,75,88,-12.52,77.0,9.17
370,0,88,41.55,31.23,5.19
371,75,82,44.44,48.81,10.29
372,20,93,44.29,38.64,3.36
373,20,100,42.13,40.91,2.24
374,0,89,18.25,71.23,3.49
375,75,80,43.55,41.0,10.29
376,0,56,-37.03,73.4,14.99
377,0,47,25.7,60.66,3.74
378,90,85,66.17,24.8,2.24
379,90,65,38.74,43.48,17.22
380,44,87,42.07,27.09,4.63
381,0,78,40.42,26.82,2.51
382,40,77,41.88,60.28,21.92
383,56,81,26.37,61.06,4.61
384,75,93,46.9,36.93,3.36
385,75,100,54.13,41.0,6.93
386,88,100,62.3,30.2,2.84
387,90,69,39.77,37.4,21.92
388,0,58,31.57,43.7,4.7
389,90,97,48.05,36.79,8.05
390,56,31,-31.88,88.56,7.99
391,1,27,33.49,59.31,3.36
392,75,62,47.74,49.95,12.75
393,36,81,27.97,66.24,4.85
394,88,97,53.43,39.28,15.93
395,0,70,38.79,44.6,4.7
396,90,100,54.6,34.16,6.93
397,24,91,40.29,28.17,8.99
398,0,75,50.71,42.82,21.92
399,90,73,43.47,24.8,3.36
400,0,75,41.03,53.47,9.22
401,0,54,-31.55,83.43,5.97
402,0,95,-29.64,68.4,4.63
403,0,79,40.55,28.08,5.41
404,75,75,50.47,41.0,21.92
405,75,93,39.09,37.4,6.93
406,0,92,51.5,24.93,2.24
407,88,85,42.89,28.71,3.06
408,0,86,38.0,53.95,10.11
409,8,94,5.36,77.0,1.12
410,68,94,55.38,27.0,4.74
411,90,93,46.54,37.4,3.36
412,75,74,47.51,39.74,18.34
413,20,100,42.0,32.0,2.24
414,48,62,34.63,40.27,8.43
415,75,86,48.27,39.22,16.11
416,90,98,41.66,32.49,16.11
417,90,80,49.7,33.78,16.11
418,0,73,-28.92,74.97,6.64
419,40,100,42.83,39.29,1.12
420,75,93,48.58,33.69,6.93
421,92,99,54.68,34.56,13.58
422,75,86,49.28,37.98,6.93
423,90,92,55.91,29.3,8.95
424,44,49,33.02,43.65,12.12
425,90,92,46.02,34.9,38.03
426,75,86,45.89,38.25,4.7
427,56,100,4.65,82.12,5.86
428,1,75,31.45,46.04,3.36
429,40,73,36.19,49.77,5.82
430,0,91,49.37,34.88,8.05
431,90,100,54.3,32.94,6.93
432,75,93,47.62,39.2,6.93
433,20,93,20.43,62.6,4.7
434,0,51,26.47,78.43,4.63
435,0,90,48.77,31.39,6.93
436,0,97,-8.47,86.67,4.63
437,90,86,48.62,38.39,12.75
438,1,30,33.15,57.22,11.41
439,75,70,37.68,47.62,19.46
440,20,86,48.92,39.56,17.22
441,40,79,41.85,30.69,3.51
442,0,93,42.49,38.25,3.36
443,75,98,52.3,33.8,12.75
444,92,58,48.88,54.28,18.34
445,75,93,48.39,39.2,8.05
446,90,65,38.56,43.99,19.46
447,0,86,45.05,34.72,8.05
448,100,93,49.44,44.95,15.48
449,1,69,39.65,33.64,4.74
450,40,87,31.99,57.2,5.82
451,75,99,53.58,33.84,9.17
452,20,93,40.34,37.4,2.24
453,20,93,43.56,40.12,12.75
454,68,90,49.27,36.63,22.53
455,75,56,39.29,41.43,10.29
456,0,93,41.25,35.42,3.36
457,76,73,-7.18,82.03,3.74
458,90,73,42.52,28.42,2.39
459,0,100,36.07,33.8,3.36
460,1,100,34.27,35.6,7.76
461,0,16,-34.83,93.2,11.41
462,0,10,13.79,57.69,2.17
463,20,81,39.34,42.84,8.05
464,1,47,25.85,52.47,3.36
465,80,84,57.05,7.56,7.43
466,90,98,45.11,35.6,4.7
467,75,100,53.97,32.0,8.05
468,90,86,55.61,29.28,6.71
469,90,100,42.93,30.2,11.41
470,75,75,51.2,44.6,17.22
471,0,86,52.65,28.87,9.17
472,100,66,48.25,48.2,18.34
473,75,74,49.0,36.97,18.34
474,75,75,46.08,39.16,2.24
475,0,100,39.11,54.0,8.21
476,75,100,14.88,62.56,1.95
477,20,74,-7.4,84.2,5.82
478,75,97,51.3,34.39,12.75
479,0,47,13.5,68.68,16.11
